1,1000
2,600
3,200
4,300
5,400
6,700
7,1200
8,3200
9,10300
10,5100
11,9300
12,9300
13,14600
14,24100
15,39000
16,61600
17,35200
18,17100
19,27900
20,44000
21,71200
22,121900
23,184900
24,308600
25,280000
26,401400
27,645300
28,1044700
29,1694400
30,2740600
31,4484400
32,7164200
33,11585000
34,18753800
35,30349000
36,49111500
37,79483000
38,128471100
39,209129200
40,337391600
41,544474200
42,879880200
43,1424147400
44,2299841900
45,3725507300
46,6040292600
47,9748868000
48,15770554100
49,25523278400
50,41284603700
51,66888554600
52,108268365400
53,175192910800
54,283100631700
